,Car Brand,Model,Price,Model Year,Location,Fuel,Driven (Kms),Gear,Ownership,EMI (monthly)
1522,Hyundai,ASTA 1.2 KAPPA VTVT,533000,2017,Delhi,Petrol,27362,Manual,1,10420
1523,Hyundai,GL,206000,2012,Delhi,Petrol,51860,Manual,1,4027
1524,Renault,RXZ 1.0 MT,735000,2021,Delhi,Petrol,15991,Manual,1,14369
1525,Maruti,ZXI 1.2,498000,2019,Delhi,Petrol,29548,Manual,1,9736
1526,Maruti,LXI CNG,401000,2018,Delhi,CNG,78642,Manual,1,7840
1527,Honda,S MT,249000,2012,Delhi,Petrol,57704,Manual,1,4868
1528,Tata,XZA PLUS PETROL,862000,2019,Delhi,Petrol,70632,Automatic,1,16407
1529,Maruti,VXI,283000,2014,Delhi,Petrol,55465,Manual,2,5533
1530,Renault,RXZ AMT,788000,2022,Delhi,Petrol,11634,Automatic,1,15406
1531,Ford,TITANIUM 1.5L DIESEL,462000,2016,Delhi,Diesel,97711,Manual,1,9032
1532,Maruti,ALPHA 1.4 VVT AMT,770000,2018,Delhi,Petrol,60653,Automatic,1,15054
1533,Maruti,LXI,305000,2018,Delhi,CNG,67680,Manual,1,5963
1534,Hyundai,MAGNA 1.2,163000,2010,Delhi,Petrol,60324,Manual,1,3187
1535,Renault,RXT 0.8 (O),312000,2019,Delhi,Petrol,24795,Manual,2,6100
1536,Honda,1.2L I-VTEC S,375000,2014,Delhi,Petrol,46599,Manual,2,7331
1537,Maruti,VXI,617000,2014,Delhi,Petrol,61829,Manual,1,12062
1538,Maruti,VXI,488000,2017,Delhi,CNG,69946,Manual,1,9540
